200 species,100 species,50 species
Jannaschia sp. CCS1 (taxid 290400),Paracoccus sp. AK26 (taxid 2589076),Brucella intermedia (taxid 94625)
Buchnera aphidicola (Mollitrichosiphum nigrofasciatum) (taxid 1241868),Paracoccus stylophorae (taxid 659350),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Bacteroides eggerthii (taxid 28111),Bacteroides eggerthii (taxid 28111),Aquipluma nitroreducens (taxid 2010828)
Sneathia vaginalis (taxid 187101),Sneathia vaginalis (taxid 187101),Pseudomonas sp. 13159349 (taxid 2662034)
Pseudobutyrivibrio xylanivorans (taxid 185007),Agathobacter rectalis (taxid 39491),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Xanthomonas campestris pv. campestris (taxid 340),Pseudoroseomonas cervicalis (taxid 204525),Stenotrophomonas acidaminiphila (taxid 128780)
Citrobacter amalonaticus Y19 (taxid 1261127),Dickeya solani (taxid 1089444),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Collinsella stercoris (taxid 147206),Collinsella stercoris (taxid 147206),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Clostridium butyricum (taxid 1492),Clostridium butyricum (taxid 1492),Enterococcus faecium (taxid 1352)
Clostridium septicum (taxid 1504),Staphylococcus aureus (taxid 1280),Crassaminicella indica (taxid 2855394)
Aeromonas sp. 2692-1 (taxid 2560029),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Bacillus cereus group (taxid 86661),Alkalihalophilus pseudofirmus (taxid 79885),Bacillus velezensis NAU-B3 (taxid 1385727)
Alteromonas sp. RKMC-009 (taxid 2267264),Vibrio coralliilyticus (taxid 190893),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Sinorhizobium meliloti (taxid 382),Rhizobium leguminosarum bv. trifolii (taxid 386),Brucella intermedia (taxid 94625)
Stenotrophomonas acidaminiphila (taxid 128780),Stenotrophomonas acidaminiphila (taxid 128780),Stenotrophomonas acidaminiphila (taxid 128780)
Buchnera aphidicola (Stegophylla sp.) (taxid 2315800),Leclercia sp. W6 (taxid 2282310),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Bacillus cereus C1L (taxid 1003239),Halalkalibacter krulwichiae (taxid 199441),Enterococcus faecium (taxid 1352)
Solitalea lacus (taxid 2911172),Solitalea lacus (taxid 2911172),Sphingomonas hengshuiensis (taxid 1609977)
Aquiflexum balticum DSM 16537 (taxid 758820),Aquiflexum balticum DSM 16537 (taxid 758820),Hylemonella gracilis (taxid 80880)
Candidatus Mycosynbacter amalyticus (taxid 2665156),Candidatus Saccharimonas aalborgensis (taxid 1332188),Aeoliella mucimassa (taxid 2527972)
Pirellula staleyi DSM 6068 (taxid 530564),Pirellula staleyi DSM 6068 (taxid 530564),Sphingomonas hengshuiensis (taxid 1609977)
Croceibacterium atlanticum (taxid 1267766),Paraurantiacibacter namhicola (taxid 645517),Sphingomonas hengshuiensis (taxid 1609977)
Salmonella enterica subsp. enterica serovar Typhimurium (taxid 90371),Klebsiella pneumoniae subsp. pneumoniae (taxid 72407),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Clostridium felsineum (taxid 36839),Clostridium cadaveris (taxid 1529),Enterococcus faecium (taxid 1352)
Arenimonas daejeonensis (taxid 370777),Stenotrophomonas sp. ESTM1D_MKCIP4_1 (taxid 2072414),Stenotrophomonas maltophilia group (taxid 995085)
Haliangium ochraceum DSM 14365 (taxid 502025),Haliangium ochraceum DSM 14365 (taxid 502025),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Mixta calida (taxid 665913),Mixta calida (taxid 665913),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Pseudomonas synxantha BG33R (taxid 96901),Serratia plymuthica RVH1 (taxid 1006598),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Aeromonas veronii (taxid 654),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Brachybacterium sp. GPGPB12 (taxid 3023517),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Pseudomonas sp. Q1-7 (taxid 3020843),Enterobacter hormaechei (taxid 158836),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Kosakonia arachidis (taxid 551989),Klebsiella sp. LTGPAF-6F (taxid 1905288),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Parvimonas micra (taxid 33033),Enterococcus faecalis ATCC 29212 (taxid 1201292),Crassaminicella indica (taxid 2855394)
Escherichia albertii (taxid 208962),Arsenophonus symbiont of Ornithomya chloropus (taxid 634121),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Finegoldia magna (taxid 1260),Finegoldia magna (taxid 1260),Enterococcus faecium (taxid 1352)
Blautia argi (taxid 1912897),Blautia luti (taxid 89014),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Staphylococcus chromogenes (taxid 46126),Staphylococcus capitis (taxid 29388),Ligilactobacillus salivarius (taxid 1624)
Arachidicoccus sp. BS20 (taxid 1850526),Chryseobacterium taklimakanense (taxid 536441),Candidatus Kaistella beijingensis (taxid 2820270)
Shigella boydii (taxid 621),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Tuwongella immobilis (taxid 692036),Limnoglobus roseus (taxid 2598579),Brucella intermedia (taxid 94625)
Halococcus dombrowskii (taxid 179637),Halococcus dombrowskii (taxid 179637),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Nitratireductor thuwali (taxid 2267699),Aureimonas sp. OT7 (taxid 2816454),Brucella intermedia (taxid 94625)
Clostridium sp. BJN0001 (taxid 2930219),Mageeibacillus indolicus UPII9-5 (taxid 699246),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Sinomonas atrocyanea (taxid 37927),Streptomyces sp. WY228 (taxid 2855836),Microlunatus elymi (taxid 2596828)
Salmonella enterica subsp. enterica serovar Saintpaul (taxid 90105),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Caballeronia sp. TF1N1 (taxid 2878153),Burkholderia ubonensis MSMB22 (taxid 1249668),Ralstonia sp. RS647 (taxid 2880989)
Proteiniborus sp. MB09-C3 (taxid 3050072),Klebsiella sp. P1954 (taxid 2829835),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Clostridium sp. MD294 (taxid 97138),Anaerotignum propionicum DSM 1682 (taxid 991789),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Acinetobacter pittii PHEA-2 (taxid 871585),Acinetobacter calcoaceticus/baumannii complex (taxid 909768),Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
Pseudomonas sp. KNUC1026 (taxid 2893890),Pseudomonas sp. S150 (taxid 2559074),Halopseudomonas litoralis (taxid 797277)
Olivibacter sp. LS-1 (taxid 2592345),Mucilaginibacter mali (taxid 2740462),Candidatus Kaistella beijingensis (taxid 2820270)
Sphingomonas sp. S2-65 (taxid 2903960),Novosphingobium sp. ZN18A2 (taxid 3079861),Sphingomonas hengshuiensis (taxid 1609977)
Piscirickettsia salmonis (taxid 1238),Leucobacter sp. CX169 (taxid 2813744),Microlunatus elymi (taxid 2596828)
Paenibacillus swuensis (taxid 1178515),Paenibacillus swuensis (taxid 1178515),Ligilactobacillus salivarius (taxid 1624)
Thermomicrobium roseum DSM 5159 (taxid 309801),Thermomicrobium roseum DSM 5159 (taxid 309801),Microlunatus elymi (taxid 2596828)
Enterobacter bugandensis (taxid 881260),Klebsiella sp. LTGPAF-6F (taxid 1905288),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Parasphingopyxis algicola (taxid 2026624),Novosphingobium sp. ZN18A2 (taxid 3079861),Sphingomonas hengshuiensis (taxid 1609977)
Emergencia sp. JLR.KK010 (taxid 3114296),Aminipila butyrica (taxid 433296),Emergencia timonensis (taxid 1776384)
Thermobaculum terrenum ATCC BAA-798 (taxid 525904),Candidatus Promineifilum breve (taxid 1806508),Anaerolinea thermophila UNI-1 (taxid 926569)
Bacillus inaquosorum (taxid 483913),Bacillus atrophaeus (taxid 1452),Bacillus velezensis NAU-B3 (taxid 1385727)
Fodinisporobacter ferrooxydans (taxid 2901836),Aristaeella hokkaidonensis (taxid 3046382),Clostridium beijerinckii (taxid 1520)
Alistipes senegalensis (taxid 1288121),Alistipes communis (taxid 2585118),Mucilaginibacter mali (taxid 2740462)
Pseudomonas sp. 273 (taxid 75692),Pseudomonas protegens (taxid 380021),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Sediminibacterium sp. KACHI17 (taxid 1751071),Sediminibacterium sp. KACHI17 (taxid 1751071),Sphingomonas hengshuiensis (taxid 1609977)
Anaerostipes sp. PC18 (taxid 3036926),Peptostreptococcus equinus (taxid 3003601),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Rheinheimera sp. D18 (taxid 2545632),Aeromonas caviae (taxid 648),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Streptococcus ratti (taxid 1341),Streptococcus sp. FSL R7-0248 (taxid 2975324),Streptococcus chenjunshii (taxid 2173853)
Simkania negevensis Z (taxid 331113),Candidatus Protochlamydia amoebophila UWE25 (taxid 264201),Alcaligenes nematophilus (taxid 2994643)
Photobacterium leiognathi (taxid 553611),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Streptococcus hillyeri (taxid 2282420),Streptococcus lutetiensis (taxid 150055),Streptococcus chenjunshii (taxid 2173853)
Planctomyces sp. SH-PL14 (taxid 1632864),Stieleria maiorica (taxid 2795974),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Stenotrophomonas maltophilia group (taxid 995085),Stenotrophomonas maltophilia group (taxid 995085),Stenotrophomonas maltophilia group (taxid 995085)
Caldinitratiruptor microaerophilus (taxid 671077),Caldinitratiruptor microaerophilus (taxid 671077),Crassaminicella indica (taxid 2855394)
Ahniella affigens (taxid 2021234),Pseudomonas beijingensis (taxid 2954101),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Chondromyces crocatus (taxid 52),Labilithrix luteola (taxid 1391654),Enterococcus faecium (taxid 1352)
Citrobacter meridianamericanus (taxid 2894201),Arsenophonus symbiont of Ornithomya chloropus (taxid 634121),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Lactiplantibacillus plantarum (taxid 1590),Limosilactobacillus mucosae (taxid 97478),Staphylococcus warneri (taxid 1292)
Pseudomonas sp. AN-1 (taxid 3096605),Pseudomonas sp. 273 (taxid 75692),Halopseudomonas litoralis (taxid 797277)
Corynebacterium ciconiae DSM 44920 (taxid 1121356),Corynebacterium incognita (taxid 2754725),Corynebacterium cystitidis (taxid 35757)
Heyndrickxia coagulans (taxid 1398),Oceanobacillus zhaokaii (taxid 2052660),Bacillus velezensis NAU-B3 (taxid 1385727)
Roseburia sp. 831b (taxid 1261635),Anaeromicropila herbilytica (taxid 2785025),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Scandinavium goeteborgense (taxid 1851514),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Lawsonella clevelandensis (taxid 1528099),Lawsonella clevelandensis (taxid 1528099),Microlunatus elymi (taxid 2596828)
Enterococcus faecium (taxid 1352),Enterococcus faecium (taxid 1352),Ligilactobacillus salivarius (taxid 1624)
Denitrobacterium detoxificans (taxid 79604),Parafannyhessea umbonata (taxid 604330),Microlunatus elymi (taxid 2596828)
Streptococcus pneumoniae (taxid 1313),Streptococcus thermophilus (taxid 1308),Streptococcus chenjunshii (taxid 2173853)
Iamia majanohamensis (taxid 467976),Iamia majanohamensis (taxid 467976),Microlunatus elymi (taxid 2596828)
Nitrosomonas sp. Is79A3 (taxid 261292),Cupriavidus malaysiensis (taxid 367825),Alcaligenes nematophilus (taxid 2994643)
Bifidobacterium animalis subsp. lactis KLDS2.0603 (taxid 1316911),Bifidobacterium pseudolongum (taxid 1694),Corynebacterium cystitidis (taxid 35757)
Mariniblastus fucicola (taxid 980251),Paenibacillus azoreducens (taxid 116718),Bacillus velezensis NAU-B3 (taxid 1385727)
Sphingomonas sp. HDW15A (taxid 2714942),Sphingomonas flavescens (taxid 3132797),Sphingomonas hengshuiensis (taxid 1609977)
Pontibrevibacter nitratireducens (taxid 2758038),Ketogulonicigenium robustum (taxid 92947),Sphingomonas hengshuiensis (taxid 1609977)
Candidatus Planktophila lacus (taxid 1884913),Candidatus Planktophila lacus (taxid 1884913),Microlunatus elymi (taxid 2596828)
Duganella dendranthematis (taxid 2728021),Telluria group (taxid 2895353),Ralstonia sp. RS647 (taxid 2880989)
Micropruina glycogenica (taxid 75385),Calothrix sp. 336/3 (taxid 1337936),Staphylococcus warneri (taxid 1292)
Ferrovibrio terrae (taxid 2594003),Kaustia mangrovi (taxid 2593653),Brucella intermedia (taxid 94625)
Pseudoroseomonas cervicalis (taxid 204525),Roseomonas marmotae (taxid 2768161),Pseudomonas syringae (taxid 317)
Gallaecimonas kandeliae (taxid 3029055),Gallaecimonas kandeliae (taxid 3029055),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Staphylococcus aureus subsp. aureus TCH60 (taxid 548473),Staphylococcus capitis (taxid 29388),Ligilactobacillus salivarius (taxid 1624)
Pseudemcibacter aquimaris (taxid 2857064),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Prevotella sp. E9-3 (taxid 2913621),Bacteroides salyersiae (taxid 291644),Sphingomonas hengshuiensis (taxid 1609977)
Parabacteroides sp. AD58 (taxid 2951805),Parabacteroides sp. AD58 (taxid 2951805),Aquipluma nitroreducens (taxid 2010828)
Stackebrandtia nassauensis DSM 44728 (taxid 446470),Stackebrandtia nassauensis DSM 44728 (taxid 446470),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Arsenophonus endosymbiont of Crataerina pallida (taxid 3066235),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Sphingomonas changnyeongensis (taxid 2698679),Sphingomonas sp. NBWT7 (taxid 2596913),Sphingomonas hengshuiensis (taxid 1609977)
Nannocystis poenicansa (taxid 2995304),Labilithrix luteola (taxid 1391654),Enterococcus faecium (taxid 1352)
Chryseomicrobium sp. FSL W7-1435 (taxid 2921704),Chryseomicrobium sp. FSL W7-1435 (taxid 2921704),Bacillus velezensis NAU-B3 (taxid 1385727)
Desulfobacca acetoxidans DSM 11109 (taxid 880072),Roseimicrobium sp. ORNL1 (taxid 2711231),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Staphylococcus hominis (taxid 1290),Candidatus Promineifilum breve (taxid 1806508),Anaerolinea thermophila UNI-1 (taxid 926569)
Escherichia marmotae (taxid 1499973),Escherichia marmotae (taxid 1499973),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Sulfuricurvum kujiense DSM 16994 (taxid 709032),Deinococcus radiophilus (taxid 32062),Hylemonella gracilis (taxid 80880)
Bacteroides heparinolyticus (taxid 28113),Bacteroides eggerthii (taxid 28111),Aquipluma nitroreducens (taxid 2010828)
Ktedonosporobacter rubrisoli (taxid 2509675),Mycoplasmopsis citelli (taxid 171281),Corynebacterium cystitidis (taxid 35757)
Nitrosomonas europaea (taxid 915),Ilumatobacter coccineus YM16-304 (taxid 1313172),Sulfuriferula plumbiphila (taxid 171865)
Gordonibacter pamelaeae 7-10-1-b (taxid 657308),Dermatobacter hominis (taxid 2884263),Microlunatus elymi (taxid 2596828)
Serratia liquefaciens (taxid 614),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Nitrosospira multiformis ATCC 25196 (taxid 323848),Klebsiella pneumoniae subsp. pneumoniae (taxid 72407),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Nocardia huaxiensis (taxid 2755382),Actinopolymorpha singaporensis (taxid 117157),Microlunatus elymi (taxid 2596828)
Virgibacillus natechei (taxid 1216297),Radiobacillus deserti (taxid 2594883),Bacillus velezensis NAU-B3 (taxid 1385727)
Pseudorhodoplanes sinuspersici (taxid 1235591),Pseudorhodoplanes sinuspersici (taxid 1235591),Brucella intermedia (taxid 94625)
Serratia plymuthica RVH1 (taxid 1006598),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Aquaspirillum sp. LM1 (taxid 1938604),Cupriavidus malaysiensis (taxid 367825),Alcaligenes nematophilus (taxid 2994643)
Rhodococcus sp. X156 (taxid 2499145),Rhodococcus sp. MTM3W5.2 (taxid 1805827),Microlunatus elymi (taxid 2596828)
Paenibacillus sp. URB8-2 (taxid 2741301),Miniphocaeibacter halophilus (taxid 2931922),Bacillus velezensis NAU-B3 (taxid 1385727)
Salmonella bongori CFSAN000510 (taxid 1299282),Enterobacter hormaechei (taxid 158836),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Georgenia wutianyii (taxid 2585135),Kocuria palustris (taxid 71999),Microlunatus elymi (taxid 2596828)
Pseudomonas sp. B21-012 (taxid 2895472),Pseudomonas hefeiensis (taxid 2738125),Halopseudomonas litoralis (taxid 797277)
Sphingosinicella sp. BN140058 (taxid 1892855),Sphingosinicella sp. BN140058 (taxid 1892855),Sphingomonas sp. CL5.1 (taxid 2653203)
Eggerthella sp. YY7918 (taxid 502558),Eggerthella sp. YY7918 (taxid 502558),Microlunatus elymi (taxid 2596828)
Flavisolibacter ginsenosidimutans (taxid 661481),Flavisolibacter tropicus (taxid 1492898),Sphingomonas hengshuiensis (taxid 1609977)
Horticoccus luteus (taxid 2862869),Horticoccus luteus (taxid 2862869),Sphingomonas hengshuiensis (taxid 1609977)
Tessaracoccus sp. MC1865 (taxid 2760310),Thermobispora bispora (taxid 2006),Microlunatus elymi (taxid 2596828)
Bacillus paralicheniformis (taxid 1648923),Paenibacillus swuensis (taxid 1178515),Ligilactobacillus salivarius (taxid 1624)
Elioraea tepida (taxid 2843330),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Paenibacillus hunanensis (taxid 539262),Paenibacillus hunanensis (taxid 539262),Bacillus velezensis NAU-B3 (taxid 1385727)
Pseudomonas sp. JBR1 (taxid 3020907),Miltoncostaea oceani (taxid 2843216),Bacillus velezensis NAU-B3 (taxid 1385727)
Lacrimispora xylanisolvens (taxid 384636),Peptostreptococcus equinus (taxid 3003601),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Peptoniphilus genitalis (taxid 3036303),Peptoniphilus equinus (taxid 3016343),Enterococcus faecium (taxid 1352)
Neobacillus sp. PS2-9 (taxid 3070676),Ornithinibacillus sp. FSL M8-0202 (taxid 2921616),Bacillus velezensis NAU-B3 (taxid 1385727)
Roseomonas fluvialis (taxid 1750527),Pseudoroseomonas cervicalis (taxid 204525),Stenotrophomonas acidaminiphila (taxid 128780)
Paenibacillus barcinonensis (taxid 198119),Paenibacillus sp. PL2-23 (taxid 2100729),Bacillus velezensis NAU-B3 (taxid 1385727)
Wohlfahrtiimonas chitiniclastica (taxid 400946),Wohlfahrtiimonas chitiniclastica (taxid 400946),Sphingomonas hengshuiensis (taxid 1609977)
Altererythrobacter sp. B11 (taxid 2060312),Deinococcus radiophilus (taxid 32062),Hylemonella gracilis (taxid 80880)
Actinomyces naeslundii (taxid 1655),Dermabacter jinjuensis (taxid 1667168),Microlunatus elymi (taxid 2596828)
Staphylococcus capitis (taxid 29388),Lactobacillus gasseri (taxid 1596),Ligilactobacillus salivarius (taxid 1624)
